accuracy,type,participant,roi,design,target
0.5078125,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.5859375,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.59375,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4140625,permutation,sub-07,VO2,expanded,lr
0.4140625,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5625,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5546875,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.40625,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.4375,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.578125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.421875,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.40625,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.3828125,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.3984375,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5625,permutation,sub-07,VO2,expanded,lr
0.4375,permutation,sub-07,VO2,expanded,lr
0.5546875,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4375,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5859375,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.421875,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4375,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.421875,permutation,sub-07,VO2,expanded,lr
0.59375,permutation,sub-07,VO2,expanded,lr
0.6015625,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.359375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.421875,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.578125,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.421875,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.40625,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.40625,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.5625,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.375,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.4140625,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.5546875,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.4296875,permutation,sub-07,VO2,expanded,lr
0.5625,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.5390625,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5234375,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.546875,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.5,permutation,sub-07,VO2,expanded,lr
0.453125,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.4140625,permutation,sub-07,VO2,expanded,lr
0.515625,permutation,sub-07,VO2,expanded,lr
0.4609375,permutation,sub-07,VO2,expanded,lr
0.53125,permutation,sub-07,VO2,expanded,lr
0.5703125,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.4765625,permutation,sub-07,VO2,expanded,lr
0.46875,permutation,sub-07,VO2,expanded,lr
0.5078125,permutation,sub-07,VO2,expanded,lr
0.4453125,permutation,sub-07,VO2,expanded,lr
0.484375,permutation,sub-07,VO2,expanded,lr
0.4921875,permutation,sub-07,VO2,expanded,lr
